date, pm25, pm10, o3
2022/12/1, 15, , 
2022/12/2, 15, , 
2022/12/3, 33, , 
2022/12/4, 30, , 
2022/12/5, 26, , 
2022/12/6, 38, , 
2022/12/7, 25, , 
2022/12/8, 34, , 
2022/12/9, 32, , 
2022/12/10, 24, , 
2022/12/11, 29, , 
2022/11/1, 16, , 
2022/11/2, 18, , 
2022/11/3, 45, , 
2022/11/4, 25, , 
2022/11/5, 11, , 
2022/11/6, 12, , 
2022/11/7, 16, , 
2022/11/8, 26, , 
2022/11/9, 45, , 
2022/11/10, 35, , 
2022/11/11, 52, , 
2022/11/12, 64, , 
2022/11/13, 70, , 
2022/11/14, 64, , 
2022/11/15, 59, , 
2022/11/16, 58, , 
2022/11/17, 57, , 
2022/11/18, 52, , 
2022/11/19, 47, , 
2022/11/20, 53, , 
2022/11/21, 58, , 
2022/11/22, 68, , 
2022/11/23, 16, , 
2022/11/24, 36, , 
2022/11/25, 22, , 
2022/11/26, 14, , 
2022/11/27, 11, , 
2022/11/28, 13, , 
2022/11/29, 19, , 
2022/11/30, 31, , 
2022/10/1, 46, , 
2022/10/2, 61, , 
2022/10/3, 63, , 
2022/10/4, 48, , 
2022/10/5, 47, , 
2022/10/6, 50, , 
2022/10/7, 57, , 
2022/10/8, 54, , 
2022/10/9, 52, , 
2022/10/10, 50, , 
2022/10/11, 14, , 
2022/10/12, 19, , 
2022/10/13, 41, , 
2022/10/14, 43, , 
2022/10/15, 45, , 
2022/10/16, 45, , 
2022/10/17, 39, , 
2022/10/18, 44, , 
2022/10/19, 51, , 
2022/10/20, 55, , 
2022/10/21, 26, , 
2022/10/22, 10, , 
2022/10/23, 11, , 
2022/10/24, 11, , 
2022/10/25, 12, , 
2022/10/26, 18, , 
2022/10/27, 18, , 
2022/10/28, 25, , 
2022/10/29, 20, , 
2022/10/30, 20, , 
2022/10/31, 15, , 
2022/9/1, 43, , 
2022/9/2, 39, , 
2022/9/3, 18, , 
2022/9/4, 11, , 
2022/9/5, 10, , 
2022/9/6, 12, , 
2022/9/7, 14, , 
2022/9/8, 19, , 
2022/9/9, 45, , 
2022/9/10, 74, , 
2022/9/11, 99, , 
2022/9/12, 83, , 
2022/9/13, 51, , 
2022/9/14, 27, , 
2022/9/15, 24, , 
2022/9/16, 14, , 
2022/9/17, 12, , 
2022/9/18, 22, , 
2022/9/19, 30, , 
2022/9/20, 24, , 
2022/9/21, 20, , 
2022/9/22, 29, , 
2022/9/23, 24, , 
2022/9/24, 18, , 
2022/9/25, 23, , 
2022/9/26, 27, , 
2022/9/27, 34, , 
2022/9/28, 17, , 
2022/9/29, 13, , 
2022/9/30, 24, , 
2022/8/1, 29, , 
2022/8/2, 16, , 
2022/8/3, 19, , 
2022/8/4, 13, , 
2022/8/5, 13, , 
2022/8/6, 18, , 
2022/8/7, 22, , 
2022/8/8, 30, , 
2022/8/9, 28, , 
2022/8/10, 22, , 
2022/8/11, 23, , 
2022/8/12, 22, , 
2022/8/13, 13, , 
2022/8/14, 13, , 
2022/8/15, 13, , 
2022/8/16, 12, , 
2022/8/17, 20, , 
2022/8/18, 40, , 
2022/8/19, 36, , 
2022/8/20, 17, , 
2022/8/21, 12, , 
2022/8/22, 11, , 
2022/8/23, 12, , 
2022/8/24, 21, , 
2022/8/25, 28, , 
2022/8/26, 17, , 
2022/8/27, 12, , 
2022/8/28, 13, , 
2022/8/29, 15, , 
2022/8/30, 20, , 
2022/8/31, 31, , 
2022/7/1, 20, , 
2022/7/2, 19, , 
2022/7/3, 14, , 
2022/7/4, 11, , 
2022/7/5, 13, , 
2022/7/6, 12, , 
2022/7/7, 12, , 
2022/7/8, 12, , 
2022/7/9, 13, , 
2022/7/10, 12, , 
2022/7/11, 13, , 
2022/7/12, 14, , 
2022/7/13, 12, , 
2022/7/14, 12, , 
2022/7/15, 13, , 
2022/7/16, 12, , 
2022/7/17, 12, , 
2022/7/18, 12, , 
2022/7/19, 17, , 
2022/7/20, 17, , 
2022/7/21, 18, , 
2022/7/22, 14, , 
2022/7/23, 13, , 
2022/7/24, 17, , 
2022/7/25, 24, , 
2022/7/26, 32, , 
2022/7/27, 27, , 
2022/7/28, 30, , 
2022/7/29, 36, , 
2022/7/30, 32, , 
2022/7/31, 32, , 
2022/6/1, 13, , 
2022/6/2, 18, , 
2022/6/3, 14, , 
2022/6/4, 12, , 
2022/6/5, 17, , 
2022/6/6, 10, , 
2022/6/7, 11, , 
2022/6/8, 11, , 
2022/6/9, 12, , 
2022/6/10, 10, , 
2022/6/11, 11, , 
2022/6/12, 10, , 
2022/6/13, 12, , 
2022/6/14, 13, , 
2022/6/15, 17, , 
2022/6/16, 15, , 
2022/6/17, 13, , 
2022/6/18, 12, , 
2022/6/19, 11, , 
2022/6/20, 12, , 
2022/6/21, 15, , 
2022/6/22, 11, , 
2022/6/23, 11, , 
2022/6/24, 11, , 
2022/6/25, 11, , 
2022/6/26, 13, , 
2022/6/27, 17, , 
2022/6/28, 12, , 
2022/6/29, 15, , 
2022/6/30, 17, , 
2022/5/1, 11, , 
2022/5/2, 11, , 
2022/5/3, 10, , 
2022/5/4, 12, , 
2022/5/5, 13, , 
2022/5/6, 10, , 
2022/5/7, 10, , 
2022/5/8, 10, , 
2022/5/9, 10, , 
2022/5/10, 11, , 
2022/5/11, 15, , 
2022/5/12, 11, , 
2022/5/13, 13, , 
2022/5/14, 14, , 
2022/5/15, 12, , 
2022/5/16, 11, , 
2022/5/17, 13, , 
2022/5/18, 13, , 
2022/5/19, 11, , 
2022/5/20, 11, , 
2022/5/21, 13, , 
2022/5/22, 12, , 
2022/5/23, 13, , 
2022/5/24, 13, , 
2022/5/25, 14, , 
2022/5/26, 15, , 
2022/5/27, 12, , 
2022/5/28, 11, , 
2022/5/29, 10, , 
2022/5/30, 10, , 
2022/5/31, 12, , 
2022/4/1, 11, , 
2022/4/6, 11, , 
2022/4/7, 12, , 
2022/4/8, 12, , 
2022/4/9, 10, , 
2022/4/10, 10, , 
2022/4/11, 10, , 
2022/4/12, 10, , 
2022/4/13, 10, , 
2022/4/14, 10, , 
2022/4/15, 12, , 
2022/4/16, 12, , 
2022/4/17, 10, , 
2022/4/18, 11, , 
2022/4/19, 10, , 
2022/4/20, 12, , 
2022/4/21, 14, , 
2022/4/22, 11, , 
2022/4/23, 12, , 
2022/4/24, 15, , 
2022/4/25, 17, , 
2022/4/26, 11, , 
2022/4/27, 11, , 
2022/4/28, 14, , 
2022/4/29, 11, , 
2022/4/30, 14, , 
2022/3/1, 13, , 
2022/3/2, 17, , 
2022/3/3, 10, , 
2022/3/4, 10, , 
2022/3/5, 12, , 
2022/3/6, 17, , 
2022/3/7, 17, , 
2022/3/8, 13, , 
2022/3/9, 12, , 
2022/3/10, 15, , 
2022/3/11, 18, , 
2022/3/12, 18, , 
2022/3/13, 11, , 
2022/3/14, 14, , 
2022/3/15, 17, , 
2022/3/16, 11, , 
2022/3/17, 15, , 
2022/3/18, 13, , 
2022/3/19, 13, , 
2022/3/20, 11, , 
2022/3/21, 13, , 
2022/3/22, 14, , 
2022/3/23, 11, , 
2022/3/24, 11, , 
2022/3/25, 12, , 
2022/3/26, 15, , 
2022/3/27, 17, , 
2022/3/28, 17, , 
2022/3/29, 12, , 
2022/3/30, 11, , 
2022/3/31, 10, , 
2022/2/1, 10, , 
2022/2/2, 13, , 
2022/2/3, 11, , 
2022/2/4, 20, , 
2022/2/5, 12, , 
2022/2/6, 17, , 
2022/2/7, 16, , 
2022/2/8, 14, , 
2022/2/9, 12, , 
2022/2/10, 14, , 
2022/2/11, 18, , 
2022/2/12, 15, , 
2022/2/13, 22, , 
